Date,Time,Cur.,Imp.,Event,Actual,Forecast,Previous
,20:30,USD,2,CFTC Nasdaq 100 speculative net positions,-14.1K,,-14.9K
,20:30,USD,1,CFTC Natural Gas speculative net positions,-179.3K,,-178.1K
,20:30,USD,2,CFTC S&P 500 speculative net positions,-234.3K,,-217.5K
,20:30,USD,1,CFTC Silver speculative net positions,9.9K,,13.5K
,20:30,USD,1,CFTC Soybeans speculative net positions,193.3K,,174.8K
,20:30,USD,1,CFTC Wheat speculative net positions,-47.5K,,-46.3K
"Sunday, March 12, 2023",22:00,USD,1,Fed Statement,,,
"Monday, March 13, 2023",13:00,USD,3,U.S. President Biden Speaks,,,
,14:00,USD,1,CB Employment Trends Index (Feb),118.29,,118.14
,15:00,USD,2,NY Fed 1-Year Consumer Inflation Expectations,4.20%,,5.00%
,15:30,USD,1,3-Month Bill Auction,4.75%,,4.77%
,15:30,USD,1,6-Month Bill Auction,4.70%,,4.97%
"Tuesday, March 14, 2023",10:00,USD,1,NFIB Small Business Optimism (Feb),90.9,,90.3
,11:00,USD,2,OPEC Monthly Report,,,
,12:30,USD,2,Core CPI (YoY) (Feb),5.50%,5.50%,5.60%
,12:30,USD,3,Core CPI (MoM) (Feb),0.50%,0.40%,0.40%
,12:30,USD,1,Core CPI Index (Feb),304.07,,302.7
,12:30,USD,3,CPI (YoY) (Feb),6.00%,6.00%,6.40%
,12:30,USD,3,CPI (MoM) (Feb),0.40%,0.40%,0.50%
,12:30,USD,1,"CPI Index, n.s.a. (Feb)",300.84,300.86,299.17
,12:30,USD,1,"CPI Index, s.a (Feb)",301.65,,300.54
,12:30,USD,1,"CPI, n.s.a (MoM) (Feb)",0.56%,,0.80%
,12:30,USD,1,Real Earnings (MoM) (Feb),-0.40%,,0.30%
,12:55,USD,1,Redbook (YoY),2.60%,,3.00%
,15:00,USD,1,Cleveland CPI (MoM) (Feb),0.60%,,0.70%
,20:30,USD,2,API Weekly Crude Oil Stock,1.155M,0.555M,-3.835M
,21:20,USD,2,FOMC Member Bowman Speaks,,,
"Wednesday, March 15, 2023",9:00,USD,2,IEA Monthly Report,,,
,11:00,USD,1,MBA 30-Year Mortgage Rate,6.71%,,6.79%
,11:00,USD,1,MBA Mortgage Applications (WoW),6.50%,,7.40%
,11:00,USD,1,MBA Purchase Index,165.6,,154.4
,11:00,USD,1,Mortgage Market Index,214.5,,201.5
,11:00,USD,1,Mortgage Refinance Index,458.9,,437.9
,12:30,USD,1,PPI ex. Food/Energy/Transport (MoM) (Feb),0.20%,,0.50%
,12:30,USD,1,PPI ex. Food/Energy/Transport (YoY) (Feb),4.40%,,4.40%
,12:30,USD,1,Core PPI (YoY) (Feb),4.40%,5.20%,5.00%
,12:30,USD,2,Core PPI (MoM) (Feb),0.00%,0.40%,0.10%
,12:30,USD,3,Core Retail Sales (MoM) (Feb),-0.10%,-0.10%,2.40%
,12:30,USD,2,NY Empire State Manufacturing Index (Mar),-24.6,-8,-5.8
,12:30,USD,3,PPI (MoM) (Feb),-0.10%,0.30%,0.30%
,12:30,USD,1,PPI (YoY) (Feb),4.60%,5.40%,5.70%
,12:30,USD,2,Retail Control (MoM) (Feb),0.50%,-0.30%,2.30%
,12:30,USD,3,Retail Sales (MoM) (Feb),-0.40%,-0.30%,3.20%
,12:30,USD,1,Retail Sales (YoY) (Feb),5.39%,,7.68%
,12:30,USD,1,Retail Sales Ex Gas/Autos (MoM) (Feb),0.00%,,2.80%
,14:00,USD,2,Business Inventories (MoM) (Jan),-0.10%,0.10%,0.30%
,14:00,USD,1,NAHB Housing Market Index (Mar),44,40,42
,14:00,USD,2,Retail Inventories Ex Auto (Jan),0.10%,0.20%,0.20%
,14:30,USD,3,Crude Oil Inventories,1.550M,1.188M,-1.694M
,14:30,USD,1,EIA Refinery Crude Runs (WoW),0.431M,,-0.012M
,14:30,USD,1,Crude Oil Imports,-1.720M,,2.330M
,14:30,USD,2,Cushing Crude Oil Inventories,-1.916M,,-0.890M
,14:30,USD,1,Distillate Fuel Production,-0.097M,,-0.084M
,14:30,USD,1,EIA Weekly Distillates Stocks,-2.537M,-1.172M,0.138M
,14:30,USD,1,Gasoline Production,-0.446M,,-0.173M
,14:30,USD,1,Heating Oil Stockpiles,-0.735M,,-0.650M
,14:30,USD,1,EIA Weekly Refinery Utilization Rates (WoW),2.20%,0.30%,0.20%
,14:30,USD,1,Gasoline Inventories,-2.061M,-1.820M,-1.134M
,20:00,USD,1,"US Foreign Buying, T-bonds (Jan)",50.90B,,20.00B
,20:00,USD,1,Overall Net Capital Flow (Jan),183.10B,,26.70B
,20:00,USD,2,TIC Net Long-Term Transactions (Jan),31.9B,,152.8B
,20:00,USD,1,TIC Net Long-Term Transactions including Swaps (Jan),22.30B,,142.40B
,20:30,USD,2,Fed's Balance Sheet,"8,639B",,"8,342B"
"Thursday, March 16, 2023",12:30,USD,2,Building Permits (Feb),1.524M,1.340M,1.339M
,12:30,USD,1,Building Permits (MoM) (Feb),13.80%,,0.10%
,12:30,USD,2,Continuing Jobless Claims,"1,684K","1,715K","1,713K"
,12:30,USD,2,Export Price Index (MoM) (Feb),0.20%,-0.10%,0.50%
,12:30,USD,1,Export Price Index (YoY),-0.80%,,2.20%
,12:30,USD,2,Housing Starts (Feb),1.450M,1.310M,1.321M
,12:30,USD,2,Housing Starts (MoM) (Feb),9.80%,,-2.00%
,12:30,USD,2,Import Price Index (MoM) (Feb),-0.10%,-0.20%,-0.40%
,12:30,USD,1,Import Price Index (YoY),-1.10%,,0.90%
