event_name,avg_hour_of_day,avg_day_of_week,avg_day_of_month,April,August,December,February,January,July,June,March,May,November,October,September
OPEC_Crude_oil_Production_Iraq,14.0,Wednesday,27.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
OPEC_Crude_Oil_Production_Kuwait,14.0,Wednesday,27.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
OPEC_Crude_Oil_Production_Libya,14.0,Wednesday,27.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
OPEC_Crude_Oil_Production_Nigeria,14.0,Wednesday,27.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
OPEC_Crude_oil_Production_Saudi_Arabia,13.833333333333334,Wednesday,27.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
OPEC_Crude_oil_Production_UAE,14.0,Wednesday,27.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
OPEC_Crude_oil_Production_Venezuela,14.0,Wednesday,27.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
OPEC_Meeting,10.0,Thursday,8.4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
OPEC_Monthly_Report,11.333333333333334,Wednesday,12.916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Overall_Net_Capital_Flow,20.333333333333332,Tuesday,16.583333333333332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Participation_Rate,12.333333333333334,Friday,5.083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Payrolls_Benchmark,13.0,Friday,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Payrolls_Benchmark_nsa,13.5,Thursday,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCE_Prices,12.333333333333334,Thursday,26.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PCE_price_index_MoM,12.333333333333334,Friday,27.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PCE_Price_index_YoY,12.333333333333334,Friday,27.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Pending_Home_Sales_Index,14.333333333333334,Thursday,27.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Pending_Home_Sales_MoM,14.333333333333334,Thursday,27.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Personal_Income_MoM,12.333333333333334,Friday,27.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Personal_Spending_MoM,12.333333333333334,Friday,27.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Philadelphia_Fed_Manufacturing_Index,12.333333333333334,Thursday,18.166666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Philly_Fed_Business_Conditions,12.333333333333334,Thursday,18.166666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Philly_Fed_CAPEX_Index,12.333333333333334,Thursday,18.166666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Philly_Fed_Employment,12.333333333333334,Thursday,18.166666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Philly_Fed_New_Orders,12.333333333333334,Thursday,18.166666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Philly_Fed_Prices_Paid,12.333333333333334,Thursday,18.166666666666668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PPI_ex_FoodEnergyTransport_MoM,12.333333333333334,Thursday,13.666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PPI_ex_FoodEnergyTransport_YoY,12.333333333333334,Thursday,13.666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PPI_MoM,12.333333333333334,Thursday,13.666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PPI_YoY,12.333333333333334,Thursday,13.666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Private_Nonfarm_Payrolls,12.333333333333334,Friday,5.083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Real_Consumer_Spending,12.333333333333334,Thursday,26.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Real_Earnings_MoM,12.333333333333334,Wednesday,12.333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Real_Personal_Consumption_MoM,12.333333333333334,Friday,27.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Redbook_YoY,12.461538461538462,Tuesday,16.307692307692307,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0
