Event,Time_Delta,Coefficients,Intercept,R_squared,Explained_Variance_Ratio
CFTC S&P 500 speculative net positions,5,[7.39035194e-05 7.73172445e-03],0.01852394917174843,-254276254.99923182,[0.61576366 0.38423634]
CFTC S&P 500 speculative net positions,15,[ 0.01040949 -0.01460587],-0.006825822825933656,-154643146.1530296,[0.61576366 0.38423634]
CFTC S&P 500 speculative net positions,30,[ 0.02035674 -0.04124131],0.034655230972550605,-610849909.438895,[0.61576366 0.38423634]
CFTC S&P 500 speculative net positions,60,[ 0.01995743 -0.05477835],0.04880449074507372,-516535206.4552142,[0.61576366 0.38423634]
CFTC Silver speculative net positions,5,[ 0.02259582 -0.02952161],0.01852394917174843,-60388492.519233875,[0.69767787 0.30232213]
CFTC Silver speculative net positions,15,[ 0.00644439 -0.00116298],-0.006825822825933656,-39987.83800540013,[0.69767787 0.30232213]
CFTC Silver speculative net positions,30,[ 0.02557979 -0.00121881],0.034655230972550605,-259421.43519311683,[0.69767787 0.30232213]
CFTC Silver speculative net positions,60,[0.04984514 0.07587561],0.04880449074507372,-19142518.121821098,[0.69767787 0.30232213]
CFTC Soybeans speculative net positions,5,[ 0.00451788 -0.0019893 ],0.01852394917174843,-5544438.211525927,[0.60703877 0.39296123]
CFTC Soybeans speculative net positions,15,[ 0.01165212 -0.0563615 ],-0.00682582282593366,-698244402.4400811,[0.60703877 0.39296123]
CFTC Soybeans speculative net positions,30,[ 0.01935971 -0.06794331],0.0346552309725506,-504325678.5823779,[0.60703877 0.39296123]
CFTC Soybeans speculative net positions,60,[ 0.08783162 -0.06300989],0.04880449074507371,-212270970.30647495,[0.60703877 0.39296123]
CFTC Wheat speculative net positions,5,[-5.38318496e-05 -2.34781940e-02],0.01852394917174843,-167008767.6985566,[0.63993996 0.36006004]
CFTC Wheat speculative net positions,15,[-0.02526036  0.00055734],-0.006825822825933655,-1086924.2330452858,[0.63993996 0.36006004]
CFTC Wheat speculative net positions,30,[-0.01959819  0.03442974],0.034655230972550605,-30111517.424576778,[0.63993996 0.36006004]
CFTC Wheat speculative net positions,60,[-0.00531062  0.03780061],0.04880449074507372,-17494951.74858372,[0.63993996 0.36006004]
CPI (MoM),5,[-0.05686527  0.10936774],-0.002683986866612811,-0.024606768562627,[0.65496437 0.34503563]
CPI (MoM),15,[-0.1301408   0.07311417],-0.00449612469224524,-0.024121039724025017,[0.65496437 0.34503563]
CPI (MoM),30,[-0.19849916  0.01396352],0.2553729642316617,-0.011044007694721136,[0.65496437 0.34503563]
CPI (MoM),60,[-0.04735907  0.07290161],0.04202149225334613,-0.0011573097487433959,[0.65496437 0.34503563]
CPI (YoY),5,[-0.06017926 -0.07415133],-0.002683986866612811,-0.04800550719457242,[0.81267455 0.18732545]
CPI (YoY),15,[-0.0879538  -0.03627251],-0.00449612469224524,-0.028405645697300308,[0.81267455 0.18732545]
CPI (YoY),30,[-0.13191855 -0.05607703],0.2553729642316617,-0.01411894771353328,[0.81267455 0.18732545]
CPI (YoY),60,[-0.09294001  0.31496289],0.04202149225334613,-0.011053893580224239,[0.81267455 0.18732545]
"CPI Index, n.s.a.",5,[ 0.02128645 -0.05829403],-0.0026839868666128116,-0.022710870841979425,[0.61031168 0.38968832]
"CPI Index, n.s.a.",15,[0.04454295 0.06416844],-0.004496124692245233,0.0053555367704641865,[0.61031168 0.38968832]
"CPI Index, n.s.a.",30,[0.10806612 0.18664676],0.2553729642316617,0.007360468727873104,[0.61031168 0.38968832]
"CPI Index, n.s.a.",60,[-0.14061457  0.24731982],0.04202149225334614,-0.04373022269969917,[0.61031168 0.38968832]
"CPI Index, s.a",5,[-0.04128819  0.00047273],-0.0026839868666128103,-0.05294284276017325,[0.64142302 0.35857698]
"CPI Index, s.a",15,[-0.18863403 -0.0283788 ],-0.004496124692245245,-161.0080456435795,[0.64142302 0.35857698]
"CPI Index, s.a",30,[-0.36316319 -0.01687621],0.2553729642316617,-14.355968152526241,[0.64142302 0.35857698]
"CPI Index, s.a",60,[-0.26142426 -0.05105326],0.042021492253346115,-129.55110974348858,[0.64142302 0.35857698]
"CPI, n.s.a (MoM)",5,[ 0.0626886  -0.24979635],-0.002683986866612825,-0.05720361951155173,[0.81223342 0.18776658]
"CPI, n.s.a (MoM)",15,[0.09163004 0.30145568],-0.004496124692245215,0.020603938946341827,[0.81223342 0.18776658]
"CPI, n.s.a (MoM)",30,[0.14354739 0.94887839],0.2553729642316618,0.0010800371475377935,[0.81223342 0.18776658]
"CPI, n.s.a (MoM)",60,[-0.10743903  0.91960336],0.04202149225334619,-0.05069556192628766,[0.81223342 0.18776658]
Capacity Utilization Rate,5,[-0.02120891 -0.0197538 ],-0.022049978380740992,-0.03999511020471491,[0.85073717 0.14926283]
Capacity Utilization Rate,15,[-0.05187136 -0.00957034],-0.03293172190153074,-0.04242850762369632,[0.85073717 0.14926283]
Capacity Utilization Rate,30,[-0.03190549  0.23905427],0.01140507306826097,0.03645942443509054,[0.85073717 0.14926283]
Capacity Utilization Rate,60,[0.05532813 0.1024317 ],0.07871620400560689,-0.12017865359171931,[0.85073717 0.14926283]
