Event,Time_Delta,Coefficients,Intercept,R_squared
Core CPI (MoM),30,[-0.40904233  0.24622214],0.2553729642316617,0.198417102121192
Core CPI (MoM),60,[-0.23039029  0.1982409 ],0.04202149225334613,0.07705292205533298
Core CPI (YoY),5,[-0.03415718 -0.13142979],-0.0026839868666128077,0.10329953868089314
Core CPI (YoY),15,[-0.01935846 -0.11475749],-0.004496124692245237,0.02262214276476504
Core CPI (YoY),30,[-0.02777959 -0.17230843],0.2553729642316617,0.011179579603862178
Core CPI (YoY),60,[0.05483538 0.02946723],0.04202149225334613,0.00370522691998465
Core CPI Index,5,[-0.04757218 -0.05212523],-0.002683986866612809,0.04683799598843841
Core CPI Index,15,[-0.3192025 -0.1128563],-0.004496124692245226,0.38002953653403515
Core CPI Index,30,[-0.61158846 -0.09945081],0.2553729642316618,0.28648151672913635
Core CPI Index,60,[-0.4079357  -0.11662933],0.04202149225334614,0.15175283052543798
Core Durable Goods Orders (MoM),5,[-0.0144985  -0.06501263],0.12217053502266031,0.07321852504778925
Core Durable Goods Orders (MoM),15,[-0.01819053  0.03421307],0.14483408992253188,0.016750602614828636
Core Durable Goods Orders (MoM),30,[-0.01541021  0.01399411],0.21096812126708786,0.004235491159307658
Core Durable Goods Orders (MoM),60,[-0.0555415   0.07500942],0.0624523672391268,0.03599955109580588
Core PCE Price Index (MoM),5,[-0.00217591  0.08672875],0.02793234260876873,0.2968527209821824
Core PCE Price Index (MoM),15,[-0.01336743  0.14230507],0.03924728798092975,0.4719169293946276
Core PCE Price Index (MoM),30,[0.050964   0.19918324],-0.020752492006548565,0.26189198824668314
Core PCE Price Index (MoM),60,[0.0299948 0.2340544],0.02910416152398715,0.15239079312522685
Core PCE Price Index (YoY),5,[-0.02304589 -0.04530931],0.02793234260876874,0.12815005807352864
Core PCE Price Index (YoY),15,[-0.02458729 -0.05938649],0.03924728798092977,0.10810015376122828
Core PCE Price Index (YoY),30,[-0.02174735 -0.08565162],-0.020752492006548544,0.04355576456143062
Core PCE Price Index (YoY),60,[-0.06496576 -0.21561213],0.029104161523987183,0.13952136565322004
Core PCE Prices,5,[-0.01926006  0.0537449 ],0.06121939622794392,0.05017391492585743
Core PCE Prices,15,[-0.08303499  0.04205573],-0.05928875061455665,0.2901088776214942
Core PCE Prices,30,[-0.11212734 -0.04138808],0.036889198993773964,0.1769143495043065
