Event,Time_Delta,"Coefficients(actual-pre, actual-forec",Intercept,R_squared
Core PPI (MoM),30,[-0.21025719  0.22433068],0.06188800579968453,0.3282592899566955
Core PPI (MoM),60,[-0.30853218  0.139741  ],0.024119480417304492,0.44435554634538554
Core PPI (YoY),5,[0.03470216 0.0240124 ],-0.04166220666444315,0.07564261509338499
Core PPI (YoY),15,[0.03549366 0.3015557 ],-0.1433046007406749,0.35139728186934294
Core PPI (YoY),30,[0.06532321 0.06801515],0.06188800579968454,0.09854521416962003
Core PPI (YoY),60,[ 0.00786557 -0.06661044],0.024119480417304492,0.02799155015868171
Core Retail Sales (MoM),5,[ 0.0625246  -0.04972177],0.013557923209082726,0.10342554322648834
Core Retail Sales (MoM),15,[ 0.62416093 -0.33522357],-0.052070416366224705,0.6473629250192379
Core Retail Sales (MoM),30,[ 0.25523292 -0.19287395],0.04710237786596929,0.2168137223750285
Core Retail Sales (MoM),60,[ 0.12423339 -0.12250197],0.22383132460377445,0.03816331053379429
Corporate Profits,5,[-0.05023854  0.04831689],0.0007653996374661431,0.1502661066879346
Corporate Profits,15,[0.06576667 0.00943764],-0.07068652038949255,0.4230698230306469
Corporate Profits,30,[0.10100349 0.02199545],-0.008787553511600134,0.3738045961384612
Corporate Profits,60,[-0.07407591  0.06649798],-0.05192777279297545,0.07688815264889681
Durable Goods Orders (MoM),5,[-0.01414586  0.06721742],0.12217053502266031,0.09794942014436137
Durable Goods Orders (MoM),15,[-0.00811901  0.09456096],0.14483408992253188,0.11969666486469888
Durable Goods Orders (MoM),30,[0.02583701 0.08937706],0.21096812126708786,0.1077978696806946
Durable Goods Orders (MoM),60,[0.02980666 0.05844746],0.06245236723912682,0.03062424952889331
Durables Excluding Defense (MoM),5,[ 0.08485935 -0.10284927],0.03295478551664923,0.06479758809961378
Durables Excluding Defense (MoM),15,[ 0.10369209 -0.08956977],0.08799343533214306,0.09389935763321944
Durables Excluding Defense (MoM),30,[ 0.20474518 -0.23550435],0.12614106959965163,0.10161665534710174
Durables Excluding Defense (MoM),60,[ 0.17684072 -0.2160336 ],0.0931708982608427,0.07776214585206698
Durables Excluding Transport (MoM),5,[ 0.06339267 -0.02692531],-0.05626096398936185,0.013806047081861506
Durables Excluding Transport (MoM),15,[-0.0264429   0.04629796],0.031152780741754236,0.013170922540469698
Durables Excluding Transport (MoM),30,[ 0.18589876 -0.18337895],0.041314017932215404,0.03787620215725385
Durables Excluding Transport (MoM),60,[ 0.22465963 -0.0585734 ],0.12388942928255867,0.055157239740573405
Employment Cost Index,5,[ 0.00309257 -0.01461513],0.1282744424605428,0.009939960004423654
Employment Cost Index,15,[-0.03387649 -0.05338263],0.08773546584649451,0.29670727901746985
Employment Cost Index,30,[-0.0775209  -0.14386108],0.13557320686937605,0.4691746160250341
Employment Cost Index,60,[-0.06442312 -0.07927649],0.1321861759888633,0.3714794339849239
Employment Wages,5,[-0.05398167  0.06598146],0.1282744424605428,0.3774208345064958
Employment Wages,15,[-0.12690439  0.08188493],0.0877354658464945,0.8337772659791233
Employment Wages,30,[-0.28645875  0.13638174],0.13557320686937602,0.9268508528858677
Employment Wages,60,[-0.18010893  0.07955822],0.13218617598886329,0.6841074258151536
Existing Home Sales,5,[-0.15257052  0.12097509],0.037521691521249755,0.21337467477042726
Existing Home Sales,15,[-0.41986893  0.40439605],0.13301862483131363,0.3215525458285876
Existing Home Sales,30,[-0.51286099  0.46866968],0.11425912497445365,0.303788197807936
Existing Home Sales,60,[-0.41816975  0.3152978 ],0.07458057175578556,0.0950562035614283
Existing Home Sales (MoM),5,[-0.07408934  0.00053532],0.037521691521249755,0.1329463735267653
Existing Home Sales (MoM),15,[-0.46959153  0.3822532 ],0.13301862483131363,0.436283972519673
